"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
immuno_type,patient_demographics,,checkbox,"<div class=""rich-text-field-label""><p>Please specify which immunosuppressant(s). <span style=""font-weight: normal; color: #236fa1;"">Check all that apply.</span></p></div>","L04AD01, Cyclosporine | L04AD02, Tacrolimus (Prograf) | L04AA10, Sirolimus | L04AA18, Everolimus | L04AX01, Azathioprine (Imuran) | L04AA06, Mycophenolate mofetil (CellCept) | L01BB02, Mercaptopurine (6-MP) | L04AA33, Vedolizumab | L01BA01, Methotrexate | L01AA01, Cyclophosphamide | L04AB04, Adalimumab | L01XE18, Ruxolitinib (Jakafi) | L01XE57, Fedratinib (Inrebic) | OTH, Other | UNK, Unknown",,,,,,"[concomitant_meds(L04A)] = '1'",,,,,,"Terminologies: ATC"
immuno_oth_more,patient_demographics,,notes,"<div class=""rich-text-field-label""><p>Please specify what other immunosuppressants</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[immuno_type(OTH)] = '1'",,,,,,
aspirin_dose,patient_demographics,,radio,"<div class=""rich-text-field-label""><p>Aspirin dosing</p></div>","262459003, Low dose (less than 200 mg/day) | 261829003, Full dose | 261665006, Unknown",,,,,,"[concomitant_meds(N02BA)] = '1'",,,,,,"Terminology: SNOMED"
bl_anticoag_type,patient_demographics,,checkbox,"<div class=""rich-text-field-label""><p>Which anticoagulants were used? <span style=""font-weight: normal; color: #236fa1;"">Check all that apply.</span></p></div>","B01AA, Vitamin K antagonists (e.g., warfarin) | B01AB, Low-molecular weight heparin (e.g., enoxaparin [Lovenox]) | B01AB01, Unfractionated heparin | B01AE, Direct thrombin inhibitors (e.g., argatroban, dabigatran [Pradaxa]) | B01AF, Direct factor Xa inhibitors (e.g., apixaban [Eliquis], rivaroxaban [Xarelto]) | B01AX05, Fondaparinux | UNK, Unknown | OTH, Other",,,,,,"[concomitant_meds(B01A)] = '1'",,,,,,"Terminology: ATC"
bl_anticoag_reason,patient_demographics,,radio,"<div class=""rich-text-field-label""><p>Why were anticoagulants being used?</p></div>","360271000, Prophylaxis | 262202000, Therapeutic dosing | 261665006, Unknown",,,,,,"[concomitant_meds(B01A)] = '1'",,,,,,"Terminology: SNOMED"
bl_anticoag_type_oth_specify,patient_demographics,,notes,"<div class=""rich-text-field-label""><p>Please specify what other anticoagulants</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[bl_anticoag_type(OTH)] = '1'",,,,,,
meds_other,patient_demographics,,notes,"<div class=""rich-text-field-label""><p>Please specify what other medications</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[concomitant_meds(OTH)] = '1'",,,,,,
gcsf,patient_demographics,,radio,"Did the patient receive G-CSF within two weeks of the COVID-19 diagnosis?","0, No | 1, Yes, Prophylactic G-CSF use (within 1-3 days of completion of chemo) | 2, Yes, Therapeutic G-CSF use (later than 1-3 days after chemo or during a neutropenic hospitalization) | OTH, Other | UNK, Unknown",,,,,,,,,,,,
gcsf_oth_specify,patient_demographics,,notes,"<div class=""rich-text-field-label""><p>Please specify what other G-CSF</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of date other than year.</span></span></p></div>",,,,,,,"[gcsf] = 'OTH'",,,,,,
additional_meds,patient_demographics,,notes,"<div class=""rich-text-field-label""><p>Additional details about medications that the patient may have been taking <span style=""font-weight: normal; color: #236fa1;"">(e.g., specific drug names; if taking NSAIDs or corticosteroids, how long, how much; etc.)</span></p> <p><span style=""font-weight: normal; color: #236fa1;"">If it is easy to copy a full medication list from your EMR, please do so here.</span></p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of date other than year.</span></span></p></div>",,,,,,,,,,,,,
sars_vax,patient_demographics,,radio,"Did the patient receive a SARS-CoV-2 vaccine?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
sars_vax_which,patient_demographics,,radio,"Which of the following SARS-CoV-2 vaccines did the patient receive?","1a, AstraZeneca vaccine (one dose only) | 1b, AstraZeneca vaccine (both doses) | 4, Johnson & Johnson vaccine | 2a, Moderna mRNA vaccine (one dose only) | 2b, Moderna mRNA vaccine (both doses) | 3a, Pfizer mRNA vaccine (one dose only) | 3b, Pfizer mRNA vaccine (both doses) | 88, Other | 99, Unknown",,,,,,"[sars_vax] = '1'",y,,,,,
sars_vax_other,patient_demographics,,notes,"<div class=""rich-text-field-label""><p>Please specify what other SARS-CoV-2 vaccine</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of date other than year.</span></span></p></div>",,,,,,,"[sars_vax_which] = '88'",,,,,,
sars_vax_when,patient_demographics,,radio,"How long after the FIRST dose of vaccine was COVID-19 diagnosed?","1, Less than 4 weeks | 2, 4 to 8 weeks | 3, 8 to 12 weeks | 4, More than 12 weeks | 88, N/A - patient was vaccinated AFTER the COVID-19 diagnosis | 99, Unknown",,,,,,"[sars_vax] = '1'",y,,,,,
influenza_vax,patient_demographics,,radio,"Did the patient have an influenza vaccine in the season which they contracted SARS-CoV-2?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
bcg_vax,patient_demographics,,radio,"Has the patient ever had a BCG vaccine?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,," @HIDDEN"
blood_type,patient_demographics,,radio,"Patient ABO blood type","A, A | B, B | AB, AB | O, O | 99, Unknown",,,,,,,,,,,,"SNOMED: 112143006"
blood_type_rh,patient_demographics,,radio,"Patient RH blood type","165747007, Rh+ | 165746003, Rh- | 99, Unknown",,,,,,,,,,,,"SNOMED: 115758001"
comorbid_header,patient_demographics,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #843fa1;"">Comorbidities</span></p> <p><span style=""font-weight: normal; color: #236fa1;"">In this section, please report on any pre-existing conditions other than cancer that were present prior to the COVID-19 illness.</span></p></div>",,,,,,,,,,,,,
significant_comorbidities,patient_demographics,,checkbox,"<div class=""rich-text-field-label""><p>Significant comorbidities (other than cancer).</p> <p><span style=""font-weight: normal; color: #236fa1;"">Check all that apply. If you do not know specific diagnoses, ok to choose the ""NOS"" categories (e.g., Pulmonary disease, NOS).</span><br /><br /><span style=""font-weight: normal; color: #236fa1;"">Immune suppression is defined as outpatient use of prednisone (10mg/d or greater), use of chemotherapy, use of nonsteroidal immunosuppressive agents for solid organ transplant or for an autoimmune disease.</span></p></div>","38013005, Immune suppression (see definition) | 62479008, HIV +/- AIDS | 19829001, Pulmonary disease, NOS | 195967001, Asthma | 13645005, COPD/Emphysema | 78275009, Obstructive sleep apnea (OSA) | 84004001, Radiation pneumonitis | 427046006, ICI pneumonitis | 56265001, Cardiovascular disease, NOS | 38341003, Hypertension (high blood pressure; HTN) | 55822004, Hyperlipidemia (high cholesterol) | 53741008, Coronary artery disease (CAD) | 42343007, Congestive heart failure (CHF) including HFpEF and HFrEF | 698247007, Cardiac arrhythmia, NOS | 49436004, Atrial fibrillation | 400047006, Peripheral vascular disease (PVD/PAD) | 275526006, History of cerebrovascular accident (CVA; stroke) | 59282003, Pulmonary embolism (PE) | 128053003, Deep venous thrombosis (DVT) | 90708001, Renal disease, NOS | 723190009, Chronic renal insufficiency (CRI/CKD) | 46177005, End-stage renal disease (ESRD), not on dialysis | 236435004, ESRD, on dialysis | 235856003, Liver disease, NOS | 19943007, Cirrhosis | OTH-x, Other organs and conditions | 52448006, Dementia | 7200002, Alcoholism | 73211009, Diabetes mellitus | 190388001, Diabetes mellitus with complications | 237602007, Metabolic syndrome | 414916001, Obesity | 238136002, Morbid obesity (BMI > 40 or BMI > 35 with obesity-related health conditions) | 444316004, Seasonal allergies | 24526004, Inflammatory bowel disease (IBD) | 85828009, Rheumatologic/Autoimmune disease | 234336002, History of hematopoietic transplant (bone marrow or stem cell) | 313039003, History of solid organ transplant | OTH, Other | UNK, Unknown | NONE, None",,,,,,,,,,,,"Terminology: SNOMED
@NONEOFTHEABOVE='NONE'"
hiv_cd4,patient_demographics,,text,"What is the patient's CD4+ T-cell count?",,,number,0,,,"[significant_comorbidities(62479008)] = '1'",,,,,,
hiv_vl,patient_demographics,,text,"What is the patient's viral load, in copies/mL?",,,number,0,,,"[significant_comorbidities(62479008)] = '1'",,,,,,
ibd,patient_demographics,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">Please consider reporting this patient to the <b><a href=""https://covidibd.org/"" target=""_blank"" rel=""noopener"">Secure-IBD Registry</a></b> as well.</span></p></div>",,,,,,,"[significant_comorbidities(24526004)] = '1'",,,,,,
please_specify,patient_demographics,,notes,"<div class=""rich-text-field-label""><p>Please specify what other significant comorbidities</p> <p><span style=""color: #e03e2d; font-weight: normal;"">Do not record </span><span style=""color: #e03e2d;"">any PHI</span><span style=""color: #e03e2d; font-weight: normal;""> in this field. As a reminder, this includes all elements of date other than year.</span></p></div>",,,,,,,"[significant_comorbidities(OTH)] = '1' or [significant_comorbidities(OTH-x)] = '1'",,,,,,
o2_requirement,patient_demographics,,radio,"Does the patient have a baseline chronic O2 requirement?","1, Yes, patient requires chronic supplemental O2 | 0, No, patient does not require supplemental O2 | 99, Unknown",,,,,,,,,,,,
comorbid_no,patient_demographics,,radio,"Number of comorbid conditions requiring active therapy.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more | 99, Unknown",,,,,,,,,,,,
additional_comorbid,patient_demographics,,notes,"<div class=""rich-text-field-label""><p>Additional comments about comorbidities.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,,,,,,,
comments_form_1,patient_demographics,"Free text entry (optional)",notes,"<div class=""rich-text-field-label""><p>Comments</p> <p><span style=""font-weight: normal; color: #e03e2d;"">Do not record </span><span style=""color: #e03e2d;"">any PHI</span><span style=""font-weight: normal; color: #e03e2d;""> in this field. As a reminder, this includes all elements of dates other than year.</span></p></div>",,,,,,,,,,,,,
ts_2,covid19_details,,text,"Timestamp for the COVID-19 details form",,,datetime_dmy,,,,,y,,,,," @HIDDEN @NOW_UTC"
c19_workup_why,covid19_details,"COVID-19 Details - Mandatory

Diagnostic Information",radio,"Why did the patient come to be evaluated for SARS-CoV-2 or COVID-19?","1, Symptoms | 2, Screening prior to a procedure | 3, Screening prior to a systemic anti-cancer treatment | 4, Screening due to a high-risk situation (e.g., known exposure) | OTH, Other | UNK, Unknown",,,,,,,,,,,," @HIDDEN DEPRECATED"
c19_workup_why_2,covid19_details,,checkbox,"<div class=""rich-text-field-label""><p>Why did the patient come to be evaluated for SARS-CoV-2 or COVID-19? <span style=""font-weight: normal; color: #236fa1;"">Check all that apply.</span></p></div>","1, Symptoms | 2, Screening prior to a procedure | 3, Screening prior to a systemic anti-cancer treatment | 4, Screening due to a high-risk situation (e.g., known exposure) | 5, Screening required for public health reasons (e.g., prior to nursing home placement) | OTH, Other | UNK, Unknown",,,,,,,y,,,,,
workup_oth_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please specify what other reason for COVID-19 evaluation</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_workup_why] = 'OTH'",,,,,,
symptoms,covid19_details,,checkbox,"<div class=""rich-text-field-label""><p>Which symptoms and/or signs were present upon initial presentation? <span style=""font-weight: normal;""><span style=""color: #236fa1;"">Check all that apply.</span></span></p></div>","367391008, Fatigue/Malaise | 386661006, Fever | 49727002, Cough | 248595008, Productive cough (with sputum) | 267036007, Dyspnea (SOB/DOE) | 68962001, Myalgias (muscle pains, body aches) | 57676002, Arthralgias (joint pains) | 162397003, Sore throat | 25064002, Headache | 419284004, Altered mental status (AMS) | 44169009, Loss of sense of smell (anosmia) | 36955009, Loss of taste (ageusia) | 64531003, Rhinorrhea (runny nose) | 422587007, Nausea | 272044004, Vomiting | 62315008, Diarrhea | 43364001, Abdominal discomfort (other than frank abdominal pain) | 21522001, Abdominal pain | 166643006, LFT abnormalities | 301095005, Cardiac involvement | 9826008, Conjunctivitis | OTH, Other | 84387000, None (patient was asymptomatic) | UNK, Unknown",,,,,,,y,,,,,"Terminology: SNOMED
@NONEOFTHEABOVE='84387000'"
symptoms_oth_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please specify other symptoms.</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[symptoms(OTH)] = '1'",,,,,,
